{'view_name.field_name': 'order_items.id', 'description': 'The unique identifier for each order item.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.sale_price', 'description': 'The sale price of the order item.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.gross_margin', 'description': 'The gross margin of the order item.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.item_gross_margin_percentage', 'description': 'The gross margin percentage of the order item.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.item_gross_margin_percentage_tier', 'description': 'The gross margin percentage tier of the order item.', 'field_type': 'tier'}
{'view_name.field_name': 'order_items.total_sale_price', 'description': 'The total sale price of all order items.', 'field_type': 'sum'}
{'view_name.field_name': 'order_items.total_gross_margin', 'description': 'The total gross margin of all order items.', 'field_type': 'sum'}
{'view_name.field_name': 'order_items.average_sale_price', 'description': 'The average sale price of all order items.', 'field_type': 'average'}
{'view_name.field_name': 'order_items.median_sale_price', 'description': 'The median sale price of all order items.', 'field_type': 'median'}
{'view_name.field_name': 'order_items.average_gross_margin', 'description': 'The average gross margin of all order items.', 'field_type': 'average'}
{'view_name.field_name': 'order_items.total_gross_margin_percentage', 'description': 'The total gross margin percentage of all order items.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.average_spend_per_user', 'description': 'The average spend per user.', 'field_type': 'number'}
{'view_name.field_name': 'order_items.is_returned', 'description': 'Indicates whether the order item was returned.', 'field_type': 'yesno'}
{'view_name.field_name': 'order_items.returned_count', 'description': 'The number of order items that were returned.', 'field_type': 'count_distinct'}
{'view_name.field_name': 'order_items.returned_total_sale_price', 'description': 'The total sale price of all order items that were returned.', 'field_type': 'sum'}
{'view_name.field_name': 'order_items.return_rate', 'description': 'The rate at which order items are returned.', 'field_type': 'number'}
{'view_name.field_name': 'products.id', 'description': 'The unique identifier for the product.', 'field_type': 'number'}
{'view_name.field_name': 'products.brand', 'description': 'The brand of the product.', 'field_type': 'string'}
{'view_name.field_name': 'products.category', 'description': 'The category of the product.', 'field_type': 'string'}
{'view_name.field_name': 'products.cost', 'description': 'The cost of the product.', 'field_type': 'number'}
{'view_name.field_name': 'products.department', 'description': 'The department that the product belongs to.', 'field_type': 'string'}
{'view_name.field_name': 'products.distribution_center_id', 'description': 'The unique identifier for the distribution center where the product is located.', 'field_type': 'number'}
{'view_name.field_name': 'products.name', 'description': 'The name of the product.', 'field_type': 'string'}
{'view_name.field_name': 'products.retail_price', 'description': 'The retail price of the product.', 'field_type': 'number'}
{'view_name.field_name': 'products.sku', 'description': 'The stock keeping unit (SKU) of the product.', 'field_type': 'string'}
{'view_name.field_name': 'products.count', 'description': 'The number of products.', 'field_type': 'count'}
{'view_name.field_name': 'inventory_items.id', 'description': 'Unique identifier for the inventory item.', 'field_type': 'number'}
{'view_name.field_name': 'inventory_items.cost', 'description': 'The cost of the inventory item.', 'field_type': 'number'}
{'view_name.field_name': 'inventory_items.created_at_date', 'description': 'The date and time when the inventory item was created.', 'field_type': 'time'}
{'view_name.field_name': 'inventory_items.product_brand', 'description': 'The brand of the product.', 'field_type': 'string'}
{'view_name.field_name': 'inventory_items.product_category', 'description': 'The category of the product.', 'field_type': 'string'}
{'view_name.field_name': 'inventory_items.product_department', 'description': 'The department of the product.', 'field_type': 'string'}
{'view_name.field_name': 'inventory_items.product_distribution_center_id', 'description': 'The ID of the distribution center where the product is located.', 'field_type': 'number'}
{'view_name.field_name': 'inventory_items.product_id', 'description': 'The ID of the product.', 'field_type': 'number'}
{'view_name.field_name': 'inventory_items.product_name', 'description': 'The name of the product.', 'field_type': 'string'}
{'view_name.field_name': 'inventory_items.product_retail_price', 'description': 'The retail price of the product.', 'field_type': 'number'}
{'view_name.field_name': 'inventory_items.product_sku', 'description': 'The SKU of the product.', 'field_type': 'string'}
{'view_name.field_name': 'inventory_items.sold_at_date', 'description': 'The date and time when the inventory item was sold.', 'field_type': 'time'}
{'view_name.field_name': 'inventory_items.count', 'description': 'The number of inventory items.', 'field_type': 'count'}
